year,breau,type,h_count,a_count,s_count
88,全區,全種類,30712,19133,11339
89,全區,全種類,34554,19514,11894
90,全區,全種類,43522,22419,13422
91,全區,全種類,44125,24663,11854
92,全區,全種類,43883,25186,10325
93,全區,全種類,46814,27649,10957
94,全區,全種類,56349,33256,14780
95,全區,全種類,49887,31604,16539
96,全區,全種類,40641,31433,21053
97,全區,全種類,35368,29610,21543
98,全區,全種類,30348,25756,20774
99,全區,全種類,27234,23808,19075
100,全區,全種類,23864,21025,17216
101,全區,全種類,21495,19057,15339
102,全區,全種類,20328,17790,15627
103,全區,全種類,20169,17953,15563
103,桃園分局,全種類,4803,3476,3064
103,大園分局,全種類,1020,941,916
103,大溪分局,全種類,1179,1180,1094
103,中壢分局,全種類,4747,3410,2622
103,楊梅分局,全種類,1135,966,797
103,平鎮分局,全種類,1635,1512,1518
103,龜山分局,全種類,1701,1310,1103
103,八德分局,全種類,1642,1185,730
103,龍潭分局,全種類,1162,1120,794
103,蘆竹分局,全種類,1145,1105,1041
103,其他,全種類,0,1748,1884
88,全區,普通竊盜,3341,1571,1480
89,全區,普通竊盜,5107,1310,1292
90,全區,普通竊盜,8844,2045,2033
91,全區,普通竊盜,9060,3226,2331
92,全區,普通竊盜,8183,2523,1935
93,全區,普通竊盜,8268,2231,1817
94,全區,普通竊盜,13541,3179,2263
95,全區,普通竊盜,12676,3227,2294
96,全區,普通竊盜,7373,3692,2608
97,全區,普通竊盜,5429,3208,2788
98,全區,普通竊盜,4298,2828,2342
99,全區,普通竊盜,4069,3077,2607
100,全區,普通竊盜,3756,2904,2319
101,全區,普通竊盜,4075,3327,2588
102,全區,普通竊盜,3400,2708,2655
103,全區,普通竊盜,3038,2515,2282
103,桃園分局,普通竊盜,807,639,577
103,大園分局,普通竊盜,142,113,111
103,大溪分局,普通竊盜,170,159,154
103,中壢分局,普通竊盜,513,352,274
103,楊梅分局,普通竊盜,260,223,255
103,平鎮分局,普通竊盜,226,230,263
103,龜山分局,普通竊盜,270,208,198
103,八德分局,普通竊盜,263,232,121
103,龍潭分局,普通竊盜,244,177,156
103,蘆竹分局,普通竊盜,143,141,136
103,其他,普通竊盜,0,41,37
88,全區,重大竊盜,83,50,57
89,全區,重大竊盜,70,34,23
90,全區,重大竊盜,64,29,47
91,全區,重大竊盜,52,17,29
92,全區,重大竊盜,35,17,39
93,全區,重大竊盜,18,14,26
94,全區,重大竊盜,27,10,29
95,全區,重大竊盜,37,21,39
96,全區,重大竊盜,31,17,29
97,全區,重大竊盜,18,18,60
98,全區,重大竊盜,15,12,27
99,全區,重大竊盜,6,4,8
100,全區,重大竊盜,12,7,13
101,全區,重大竊盜,13,8,22
102,全區,重大竊盜,4,4,7
103,全區,重大竊盜,4,4,6
103,桃園分局,重大竊盜,0,0,0
103,大園分局,重大竊盜,1,0,0
103,大溪分局,重大竊盜,2,2,5
103,中壢分局,重大竊盜,0,0,0
103,楊梅分局,重大竊盜,0,0,0
103,平鎮分局,重大竊盜,0,0,0
103,龜山分局,重大竊盜,1,2,1
103,八德分局,重大竊盜,0,0,0
103,龍潭分局,重大竊盜,0,0,0
103,蘆竹分局,重大竊盜,0,0,0
103,其他,重大竊盜,0,0,0
88,全區,汽車竊盜,5566,3341,482
89,全區,汽車竊盜,5872,3317,617
90,全區,汽車竊盜,6097,3753,558
91,全區,汽車竊盜,6766,4737,432
92,全區,汽車竊盜,7660,6302,400
93,全區,汽車竊盜,8109,6290,535
94,全區,汽車竊盜,8781,6864,600
95,全區,汽車竊盜,5829,4746,347
96,全區,汽車竊盜,4373,3386,231
97,全區,汽車竊盜,4050,3375,408
98,全區,汽車竊盜,2384,1869,353
99,全區,汽車竊盜,2031,1654,364
100,全區,汽車竊盜,1552,1212,279
101,全區,汽車竊盜,1355,1121,231
102,全區,汽車竊盜,1089,915,220
103,全區,汽車竊盜,1011,823,250
103,桃園分局,汽車竊盜,75,44,35
103,大園分局,汽車竊盜,71,71,18
103,大溪分局,汽車竊盜,73,64,14
103,中壢分局,汽車竊盜,164,92,23
103,楊梅分局,汽車竊盜,158,171,39
103,平鎮分局,汽車竊盜,78,62,47
103,龜山分局,汽車竊盜,149,105,20
103,八德分局,汽車竊盜,94,58,22
103,龍潭分局,汽車竊盜,116,123,12
103,蘆竹分局,汽車竊盜,33,17,6
103,其他,汽車竊盜,0,16,14
88,全區,機車竊盜,14913,8424,1335
